n,sigma_r,sigma_t,p,q,rep_no,dq_mean_rerr,dq_min_rerr,dq_max_rerr,dq_mean_terr,dq_min_terr,dq_max_terr,mat_mean_rerr,mat_min_rerr,mat_max_rerr,mat_mean_terr,mat_min_terr,mat_max_terr
100,1,0.01,0.05,1.0,0,0.01617257833814749,0.0022335622764498232,0.06293274015205273,0.015143344296876289,0.0027768237952352976,0.04986329601376669,0.016908540516502577,0.0021724556229796126,0.062105614426921855,0.015131128065066874,0.0032349109170814357,0.04959132047054206
100,1,0.01,0.05,1.0,1,0.07164974322614198,0.005910471848936271,3.5697197329320844,0.06102606879561395,0.007026167429229247,2.8722914783281586,0.06835224381498645,0.02209537090213502,2.699038563778821,0.08023809423864176,0.019282030290978715,3.8618636034568374
100,1,0.01,0.05,1.0,2,0.05934460585381414,0.004347890345763726,2.762700670366357,0.03169271622984687,0.0018440260572617996,1.1926515959823474,0.13098746979287085,0.038654114789883585,6.219123671243081,0.044406218907107116,0.004861897217281352,1.8738025553472075
100,1,0.01,0.05,1.0,3,0.019202320126363602,0.0019021128818048749,0.051691365970729944,0.016139617170412682,0.002142411580649268,0.0445224644317937,0.019291273313955585,0.001448635437805795,0.05455044141287594,0.016150807449954487,0.002125933211815863,0.04490234031839344
100,1,0.01,0.05,1.0,4,0.16141755602818317,0.015070646882066044,6.099475397659728,0.060965931227560374,0.0035628599037706237,2.132305186650817,0.1871943985510821,0.024127666278350432,6.274735958431336,0.05521901314662731,0.001985177788531375,2.2062225122208208
100,1,0.01,0.05,1.0,5,0.022095284499038227,0.004172823150512951,0.0851281112440269,0.016142021961327538,0.0023691737648594046,0.0438788246499188,0.022211126994887566,0.004013440373898481,0.07162096106525648,0.01615188776528612,0.0010557987052144929,0.04055276349394517
100,1,0.01,0.05,1.0,6,0.07631901043784985,0.011600719786795007,3.94005467899039,0.05147145152329147,0.006795244492944345,2.343614737434098,0.07703173806865729,0.02579155679637721,2.8430979004411876,0.08701683192666787,0.021319804382614674,4.222340816138731
100,1,0.01,0.05,1.0,7,0.021856111853521386,0.005501223359515507,0.07555971801475615,0.019183292291529205,0.0029569987055687898,0.05470262249094324,0.021732008069211713,0.005997696891939223,0.07766039510507843,0.019422800120548575,0.0031110477196272398,0.0526606145057318
100,1,0.01,0.05,1.0,8,0.07230128370779815,0.011877060763539248,3.681885514139843,0.07536428305598847,0.018827436572250972,3.6179245355690437,0.1312796968198419,0.03282567906489129,6.024498216396395,0.14921274213515254,0.053412444927025855,7.395082088311711
100,1,0.01,0.05,1.0,9,0.077140092803821,0.011914460349097902,3.8859047052754114,0.0754393188119065,0.01070594134126133,3.5569666018454456,0.12685068981552644,0.03812387706633611,5.435536175204508,0.040470071575195915,0.005757651622069223,1.6335972824743694
